,parental level of education,math score,reading score,writing score,average_score,parental_education_n
753,associate's degree,61,59,54,58.0,4
754,master's degree,94,100,100,98.0,6
755,high school,66,84,77,75.67,2
756,master's degree,83,88,93,88.0,6
757,high school,75,63,60,66.0,2
758,high school,56,65,63,61.33,2
759,some college,66,88,83,79.0,3
760,high school,61,69,66,65.33,2
761,some high school,70,79,73,74.0,1
762,master's degree,57,59,53,56.33,6
763,associate's degree,78,89,90,85.67,4
764,some high school,62,76,67,68.33,1
765,some high school,64,53,49,55.33,1
766,high school,55,66,65,62.0,2
767,some college,72,83,83,79.33,3
768,some college,49,48,42,46.33,3
769,some college,62,60,63,61.67,3
770,some high school,76,73,68,72.33,1
771,master's degree,73,86,85,81.33,6
772,associate's degree,72,76,78,75.33,4
773,high school,85,85,76,82.0,2
774,some college,71,68,65,68.0,3
775,some high school,28,38,31,32.33,1
776,high school,41,42,38,40.33,2
777,associate's degree,78,72,68,72.67,4
778,master's degree,48,52,44,48.0,6
779,associate's degree,38,51,47,45.33,4
780,bachelor's degree,91,100,100,97.0,5
781,bachelor's degree,71,81,80,77.33,5
782,bachelor's degree,84,87,92,87.67,5
783,associate's degree,63,60,63,62.0,4
784,associate's degree,70,78,87,78.33,4
785,bachelor's degree,48,52,57,52.33,5
786,some high school,68,72,73,71.0,1
787,some college,84,84,87,85.0,3
788,high school,61,62,60,61.0,2
789,some high school,62,59,62,61.0,1
790,master's degree,66,78,83,75.67,6
791,high school,52,65,71,62.67,2
792,some college,68,75,73,72.0,3
793,some college,62,68,71,67.0,3
794,bachelor's degree,90,88,84,87.33,5
795,master's degree,42,50,44,45.33,6
796,associate's degree,74,90,89,84.33,4
797,associate's degree,62,61,61,61.33,4
798,some college,56,55,50,53.67,3
799,high school,64,52,54,56.67,2
800,high school,79,84,80,81.0,2
801,some high school,44,65,63,57.33,1
802,some college,69,94,87,83.33,3
803,some college,53,48,48,49.67,3
804,high school,74,69,61,68.0,2
805,associate's degree,49,55,48,50.67,4
806,associate's degree,57,71,71,66.33,4
807,master's degree,61,72,64,65.67,6
808,master's degree,65,88,84,79.0,6
809,some college,51,60,52,54.33,3
810,some high school,49,51,41,47.0,1
811,master's degree,56,65,56,59.0,6
812,associate's degree,65,62,63,63.33,4
813,some college,70,64,62,65.33,3
814,some college,91,95,88,91.33,3
815,high school,48,56,64,56.0,2
816,associate's degree,94,99,100,97.67,4
817,master's degree,77,76,73,75.33,6
818,some high school,59,78,75,70.67,1
819,some college,57,75,70,67.33,3
820,some high school,76,82,74,77.33,1
821,high school,65,63,64,64.0,2
822,master's degree,75,75,83,77.67,6
823,master's degree,70,66,65,67.0,6
824,high school,79,79,70,76.0,2
825,associate's degree,100,100,100,100.0,4
826,bachelor's degree,83,96,99,92.67,5
827,associate's degree,70,84,78,77.33,4
828,some high school,97,80,88,88.33,1
829,high school,33,32,35,33.33,2
830,master's degree,38,40,41,39.67,6
831,some college,46,51,47,48.0,3
832,some college,13,36,37,28.67,3
833,master's degree,85,83,78,82.0,6
834,some college,79,79,80,79.33,3
835,some high school,76,81,79,78.67,1
836,some high school,53,70,65,62.67,1
837,high school,68,70,63,67.0,2
838,associate's degree,67,70,70,69.0,4
839,some college,100,84,88,90.67,3
840,associate's degree,54,48,45,49.0,4
841,associate's degree,72,73,70,71.67,4
842,some college,91,97,95,94.33,3
843,master's degree,87,81,86,84.67,6
844,associate's degree,66,75,74,71.67,4
845,some high school,65,66,64,65.0,1
846,associate's degree,41,56,53,50.0,4
847,associate's degree,67,69,65,67.0,4
848,high school,94,89,86,89.67,2
849,bachelor's degree,57,70,68,65.0,5
850,high school,89,83,80,84.0,2
851,associate's degree,77,73,80,76.67,4
852,some high school,57,60,50,55.67,1
853,some college,72,72,72,72.0,3
854,bachelor's degree,98,94,95,95.67,5
855,master's degree,87,97,100,94.67,6
856,some high school,61,57,55,57.67,1
857,master's degree,85,100,97,94.0,6
858,some high school,81,85,91,85.67,1
859,high school,74,84,79,79.0,2
860,bachelor's degree,98,92,90,93.33,5
861,some college,86,84,89,86.33,3
862,bachelor's degree,85,81,82,82.67,5
863,some college,68,71,63,67.33,3
864,high school,66,78,77,73.67,2
865,some high school,75,74,71,73.33,1
866,bachelor's degree,79,57,58,64.67,5
867,bachelor's degree,59,85,82,75.33,5
868,master's degree,60,62,58,60.0,6
869,high school,69,60,54,61.0,2
870,high school,49,54,58,53.67,2
871,some college,62,44,52,52.67,3
872,high school,70,84,83,79.0,2
873,bachelor's degree,71,57,60,62.67,5
874,bachelor's degree,71,69,65,68.33,5
875,some high school,50,59,54,54.33,1
876,high school,52,55,57,54.67,2
877,some college,75,65,66,68.67,3
878,bachelor's degree,51,64,63,59.33,5
879,some high school,64,48,50,54.0,1
880,some college,65,76,72,71.0,3
881,master's degree,99,81,87,89.0,6
882,associate's degree,60,62,58,60.0,4
883,some college,70,78,80,76.0,3
884,some college,77,76,77,76.67,3
885,high school,37,28,23,29.33,2
886,associate's degree,73,73,61,69.0,4
887,associate's degree,53,74,75,67.33,4
888,associate's degree,67,58,62,62.33,4
889,some college,67,79,80,75.33,3
890,high school,51,57,50,52.67,2
891,high school,64,71,70,68.33,2
892,some college,55,42,43,46.67,3
893,associate's degree,55,39,51,48.33,4
894,associate's degree,86,77,78,80.33,4
895,master's degree,71,88,85,81.33,6
896,high school,71,63,64,66.0,2
897,some high school,51,67,69,62.33,1
898,some college,75,76,85,78.67,3
899,some high school,45,31,27,34.33,1
900,some high school,59,54,48,53.67,1
901,high school,64,69,68,67.0,2
902,some college,78,69,73,73.33,3
903,high school,59,61,58,59.33,2
904,bachelor's degree,80,70,71,73.67,5
905,associate's degree,68,82,77,75.67,4
906,associate's degree,77,81,79,79.0,4
907,high school,66,67,64,65.67,2
908,some college,26,44,46,38.67,3
909,some college,80,66,69,71.67,3
910,some high school,48,62,61,57.0,1
911,associate's degree,52,64,55,57.0,4
912,master's degree,54,64,64,60.67,6
913,some college,59,68,67,64.67,3
914,high school,77,62,65,68.0,2
915,some college,64,70,69,67.67,3
916,high school,83,72,68,74.33,2
917,high school,70,73,69,70.67,2
918,some high school,72,68,67,69.0,1
919,associate's degree,83,78,79,80.0,4
920,associate's degree,52,58,57,55.67,4
921,some college,53,73,74,66.67,3
922,some college,55,55,55,55.0,3
923,associate's degree,65,63,61,63.0,4
924,some high school,60,67,64,63.67,1
925,high school,64,62,59,61.67,2
926,associate's degree,71,72,69,70.67,4
927,bachelor's degree,61,71,65,65.67,5
928,associate's degree,61,55,58,58.0,4
929,master's degree,65,74,79,72.67,6
930,some high school,71,83,89,81.0,1
931,associate's degree,48,49,44,47.0,4
932,high school,75,80,75,76.67,2
933,associate's degree,54,66,65,61.67,4
934,master's degree,70,64,65,66.33,6
935,some high school,91,77,72,80.0,1
936,some high school,33,44,50,42.33,1
937,high school,45,50,41,45.33,2
938,high school,45,33,32,36.67,2
939,bachelor's degree,62,61,57,60.0,5
940,associate's degree,92,79,77,82.67,4
941,some college,74,75,79,76.0,3
942,high school,81,79,83,81.0,2
943,associate's degree,76,71,66,71.0,4
944,associate's degree,57,72,73,67.33,4
945,some college,63,61,55,59.67,3
946,high school,57,62,73,64.0,2
947,some college,46,65,64,58.33,3
948,some high school,49,50,45,48.0,1
949,some high school,54,60,65,59.67,1
950,some high school,89,87,90,88.67,1
951,bachelor's degree,77,70,78,75.0,5
952,bachelor's degree,46,63,60,56.33,5
953,associate's degree,66,59,70,65.0,4
954,high school,48,63,53,54.67,2
955,associate's degree,83,76,81,80.0,4
956,high school,69,75,74,72.67,2
957,bachelor's degree,73,52,54,59.67,5
958,some college,43,59,59,53.67,3
959,master's degree,91,84,83,86.0,6
960,associate's degree,49,58,55,54.0,4
961,master's degree,87,86,84,85.67,6
962,some high school,46,46,44,45.33,1
963,some high school,63,61,71,65.0,1
964,bachelor's degree,100,83,86,89.67,5
965,bachelor's degree,86,87,89,87.33,5
966,some high school,55,73,70,66.0,1
967,master's degree,84,100,99,94.33,6
968,some high school,39,51,48,46.0,1
969,high school,67,57,52,58.67,2
970,some high school,85,100,97,94.0,1
971,some high school,64,51,44,53.0,1
972,associate's degree,81,77,74,77.33,4
973,associate's degree,78,71,67,72.0,4
974,some high school,59,59,58,58.67,1
975,associate's degree,74,76,70,73.33,4
976,some college,31,29,35,31.67,3
977,some high school,54,55,65,58.0,1
978,high school,51,51,45,49.0,2
979,bachelor's degree,57,65,68,63.33,5
980,some high school,39,50,49,46.0,1
981,some college,64,48,48,53.33,3
982,master's degree,69,79,72,73.33,6
983,some high school,58,50,47,51.67,1
984,high school,63,71,75,69.67,2
985,associate's degree,74,73,67,71.33,4
986,some college,78,84,77,79.67,3
987,some college,78,78,74,76.67,3
988,some college,75,76,81,77.33,3
989,some college,70,60,65,65.0,3
990,some college,67,55,53,58.33,3
991,associate's degree,87,93,88,89.33,4
992,some college,69,63,66,66.0,3
993,associate's degree,58,54,58,56.67,4
994,high school,86,82,75,81.0,2
995,high school,73,70,65,69.33,2
996,associate's degree,85,91,92,89.33,4
997,some high school,32,35,41,36.0,1
998,some college,73,74,82,76.33,3
999,some college,65,60,62,62.33,3
